helmet, What does the object look like?, The object is typically rounded or oval in shape., Shape:0.8,Egg:0.7,Sphere:0.6,Fruit:, Shape:0.38095238095238093,Egg:0.3333333333333333,Sphere:0.2857142857142857, information_gain: 27.631021115928547, remaining_turns: 4
, sneaker, What is the object typically made of?, The object is typically made of leather or synthetic materials., Leather:0.9, Synthetic:0.9, Material:0.7, Object:, Leather:0.36,Synthetic:0.36,Material:0.27999999999999997, information_gain: 10.596481700596454, remaining_turns: 3
, sneaker, Is the object a shoe?, Yes., Shoe:1.0, Yes:0.9, Object:0.7, Foot, Shoe:0.3846153846153847,Yes:0.3461538461538462,Object:0.2692307692307693, information_gain: 7.084441397037906, remaining_turns: 2
, sneaker, What type of shoe is it?, Sneaker., Sneaker:1.0, Shoe:0.9, Object:0.7, Foot, Sneaker:0.3846153846153847,Shoe:0.3461538461538462,Object:0.2692307692307693, information_gain: 6.611205623378664, remaining_turns: 1
, desk, What does the object look like?, It has a flat surface., Flat:0.9, Surface:0.8, Object:0.7, Shape:, Flat:0.37499999999999994,Surface:0.3333333333333333,Object:0.29166666666666663, information_gain: 27.631021115928547, remaining_turns: 5
, desk, What is the shape of the flat surface?, The shape of the flat surface is rectangular., Rectangular:0.9, Flat:0.8, Surface:0.7, Shape, Rectangular:0.37499999999999994,Flat:0.3333333333333333,Surface:0.29166666666666663, information_gain: 5.53905622912433, remaining_turns: 4
, desk, What is the size of the rectangular flat surface?, The size of the rectangular flat surface is typically around 30 inches by 60 inches., Inches:0.9, Rectangular:0.8, Size:0.7,, Inches:0.37499999999999994,Rectangular:0.3333333333333333,Size:0.29166666666666663, information_gain: 8.50448426118765, remaining_turns: 3
, desk, What material is the object made of?, Wood., Wood:0.9, Material:0.7, Object:0.6, Rectangular, Wood:0.40909090909090906,Material:0.3181818181818181,Object:0.2727272727272727, information_gain: 7.4194690927169775, remaining_turns: 2
, desk, What is the object used for?, The object is used for writing., Writing:0.9, Object:0.8, Surface:0.7, Wood, Writing:0.37499999999999994,Object:0.3333333333333333,Surface:0.29166666666666663, information_gain: 6.949780413313325, remaining_turns: 1
, desk, My guess is that the object is a desk.?, Correct., Desk:1.0, Correct:0.9, Object:0.7, Writing, Desk:0.3846153846153847,Correct:0.3461538461538462,Object:0.2692307692307693, information_gain: 7.084441397037906, remaining_turns: 0
, sledgehammer, What is the general shape of the object?, The general shape of the object is a long handle with a heavy metal head at the end., Handle:0.9, Metal:0.8, Head:0.7, Long:, Handle:0.37499999999999994,Metal:0.3333333333333333,Head:0.29166666666666663, information_gain: 27.631021115928547, remaining_turns: 5
, sledgehammer, What is the object used for?, The object is used for breaking., Breaking:0.9, Object:0.8, Handle:0.7, Metal:, Breaking:0.37499999999999994,Object:0.3333333333333333,Handle:0.29166666666666663, information_gain: 5.683815910346625, remaining_turns: 4
, sledgehammer, What material is the heavy metal head made of?, Steel., Steel:0.9, Metal:0.8, Object:0.7, Handle:, Steel:0.37499999999999994,Metal:0.3333333333333333,Object:0.29166666666666663, information_gain: 6.949780413313325, remaining_turns: 3
, sledgehammer, What is the object typically used for breaking?, yes., Yes:0.9, Breaking:0.8, Object:0.7, Handle:, Yes:0.37499999999999994,Breaking:0.3333333333333333,Object:0.29166666666666663, information_gain: 8.058312697458051, remaining_turns: 2
, sledgehammer, What is the object typically used for breaking, Yes., Yes:0.9, Breaking:0.8, Object:0.7, Handle:, Yes:0.37499999999999994,Breaking:0.3333333333333333,Object:0.29166666666666663, information_gain: 0.011622850503124397, remaining_turns: 1
, sledgehammer, Is the object a sledgehammer?, Correct., Sledgehammer:1.0, Correct:0.9, Object:0.7,, Sledgehammer:0.3846153846153847,Correct:0.3461538461538462,Object:0.2692307692307693, information_gain: 7.084441397037904, remaining_turns: 0
, elevator, What is the general size of the object you are thinking of?, The general size of the object I am thinking of is large., Large:0.9, Size:0.8, Object:0.7, General:, Large:0.37499999999999994,Size:0.3333333333333333,Object:0.29166666666666663, information_gain: 27.631021115928547, remaining_turns: 7
, elevator, What is the object's function or purpose?, The object's function or purpose is to transport people or goods between floors in a building., Transport:0.9, Building:0.8, Floors:0.7, People:, Transport:0.37499999999999994,Building:0.3333333333333333,Floors:0.29166666666666663, information_gain: 6.949780413313325, remaining_turns: 6
, elevator, What material is the object made of?, Metal., Metal:0.9, Object:0.7, Material:0.6, Building:, Metal:0.40909090909090906,Object:0.3181818181818181,Material:0.2727272727272727, information_gain: 7.419469092716977, remaining_turns: 5
, elevator, Is the object man made?, Yes., Man-made:0.9, Object:0.7, Artificial:0.6,, Man-made:0.40909090909090906,Object:0.3181818181818181,Artificial:0.2727272727272727, information_gain: 7.419469092716978, remaining_turns: 4
, elevator, I should not have asked that question, The object is rectangular., Rectangular:0.9, Object:0.7, Shape:0.6, Building, Rectangular:0.40909090909090906,Object:0.3181818181818181,Shape:0.2727272727272727, information_gain: 7.419469092716977, remaining_turns: 3
, elevator, How many people can the object transport at a time?, The object can transport multiple people at a time., Multiple:0.9, People:0.8, Transport:0.7, Object:, Multiple:0.37499999999999994,People:0.3333333333333333,Transport:0.29166666666666663, information_gain: 7.577903247152996, remaining_turns: 2
, elevator, What is the object's power source?, Electricity., Electricity:0.9, Power:0.8, Object:0.7, Building:, Electricity:0.37499999999999994,Power:0.3333333333333333,Object:0.29166666666666663, information_gain: 6.949780413313325, remaining_turns: 1
, elevator, My first guess is that the object is an elevator.?, Correct., Elevator:1.0, Correct:0.9, Object:0.7, Transport, Elevator:0.3846153846153847,Correct:0.3461538461538462,Object:0.2692307692307693, information_gain: 7.084441397037904, remaining_turns: 0
, altar, What is the general size of the object?, The general size of the object is from a few feet to a dozen feet., Feet:0.9, Size:0.8, Object:0.7, Length:, Feet:0.37499999999999994,Size:0.3333333333333333,Object:0.29166666666666663, information_gain: 27.631021115928547, remaining_turns: 9
, altar, What is the object used for?, The object is used for worship., Worship:0.9, Object:0.8, Religion:0.7, Ceremony, Worship:0.37499999999999994,Object:0.3333333333333333,Religion:0.29166666666666663, information_gain: 6.949780413313325, remaining_turns: 8
, altar, What material is the object made of?, The object is made of stone., Stone:0.9, Object:0.7, Material:0.6, Worship:, Stone:0.40909090909090906,Object:0.3181818181818181,Material:0.2727272727272727, information_gain: 7.419469092716977, remaining_turns: 7
, altar, What kind of stone is the object made of?, Marble., Marble:0.9, Stone:0.8, Object:0.7, Worship:, Marble:0.37499999999999994,Stone:0.3333333333333333,Object:0.29166666666666663, information_gain: 6.479518576710257, remaining_turns: 6
, altar, I am going to take a guess that the object is a statue.?, No., Statue:-1.0, Object:0.7, Guess:-0.6, Marble, Not Statue:0.4347826086956522,Object:0.30434782608695654,Not Guess:0.2608695652173913, information_gain: 7.759626652339472, remaining_turns: 5
, altar, How is the object used in worship?, It is used to make sacrifices or offerings to a deity or deities., Sacrifice:0.9, Offering:0.9, Worship:0.7, Deity, Sacrifice:0.36,Offering:0.36,Worship:0.27999999999999997, information_gain: 11.278224267323589, remaining_turns: 4
, altar, Is the object used in a specific type of worship?, Yes., Yes:0.9, Worship:0.8, Object:0.7, Specific:, Yes:0.37499999999999994,Worship:0.3333333333333333,Object:0.29166666666666663, information_gain: 6.949780413313325, remaining_turns: 3
, altar, What type of worship is the object used in?, The object is used in religious worship., Religious:0.9, Worship:0.8, Object:0.7, Ceremony:, Religious:0.37499999999999994,Worship:0.3333333333333333,Object:0.29166666666666663, information_gain: 6.949780413313325, remaining_turns: 2
, altar, What kind of religious worship is the object used in?, Christian., Christian:0.9, Religious:0.8, Worship:0.7, Ceremony:, Christian:0.37499999999999994,Religious:0.3333333333333333,Worship:0.29166666666666663, information_gain: 6.506378346509651, remaining_turns: 1
, altar, I am going to take a guess that the object is an altar.?, Correct., Altar:1.0, Correct:0.9, Object:0.7, Christian, Altar:0.3846153846153847,Correct:0.3461538461538462,Object:0.2692307692307693, information_gain: 7.084441397037906, remaining_turns: 0
, motorbus, What is the general shape of the object?, The general shape of the object is a large rectangular box with rounded edges., Rectangular:0.9, Box:0.8, Rounded:0.7, Shape, Rectangular:0.37499999999999994,Box:0.3333333333333333,Rounded:0.29166666666666663, information_gain: 27.631021115928547, remaining_turns: 22
, motorbus, What is the size of the object?, It is large., Large:0.9, Size:0.8, Object:0.7, Shape:, Large:0.37499999999999994,Size:0.3333333333333333,Object:0.29166666666666663, information_gain: 6.949780413313325, remaining_turns: 21
, motorbus, What is the object made of?, Metal and plastic., Metal:0.9, Plastic:0.9, Object:0.7, Material:, Metal:0.36,Plastic:0.36,Object:0.27999999999999997, information_gain: 10.596481700596454, remaining_turns: 20
, motorbus, What is the object's purpose?, The object's purpose is to transport people from one place to another., Transport:0.9, People:0.8, Object:0.7, Place, Transport:0.37499999999999994,People:0.3333333333333333,Object:0.29166666666666663, information_gain: 6.949780413313325, remaining_turns: 19
, motorbus, How many people can the object transport at one time?, 100 people., People:0.9, Transport:0.8, Object:0.7, Hundred, People:0.37499999999999994,Transport:0.3333333333333333,Object:0.29166666666666663, information_gain: 6.506378346509651, remaining_turns: 18
, motorbus, What is the object's mode of transportation?, The object's mode of transportation is by road., Road:0.9, Transport:0.8, Object:0.7, Mode:, Road:0.37499999999999994,Transport:0.3333333333333333,Object:0.29166666666666663, information_gain: 8.748616387631879, remaining_turns: 17
, motorbus, Is the object a bus?, Yes., Bus:1.0, Yes:0.9, Object:0.7, Transport, Bus:0.3846153846153847,Yes:0.3461538461538462,Object:0.2692307692307693, information_gain: 7.084441397037906, remaining_turns: 16
, motorbus, I was right. ?, The object is used for transporting goods., Transporting:0.9, Goods:0.8, Object:0.7, Transportation, Transporting:0.37499999999999994,Goods:0.3333333333333333,Object:0.29166666666666663, information_gain: 6.949780413313325, remaining_turns: 15
, cradle, What does the object look like?, The object looks like a bed., Bed:0.9, Object:0.8, Looks:0.7, Goods:, Bed:0.37499999999999994,Object:0.3333333333333333,Looks:0.29166666666666663, information_gain: 27.631021115928547, remaining_turns: 5
, cradle, What is the object used for?, The object is used for holding something., Holding:0.9, Object:0.8, Goods:0.7, Transporting, Holding:0.37499999999999994,Object:0.3333333333333333,Goods:0.29166666666666663, information_gain: 6.949780413313325, remaining_turns: 4
, cradle, What is the object made of?, The object is made of wood., Wood:0.9, Object:0.7, Material:0.6, Holding:, Wood:0.40909090909090906,Object:0.3181818181818181,Material:0.2727272727272727, information_gain: 7.419469092716977, remaining_turns: 3
, cradle, My guess is that the object is a bookshelf.?, No., Bookshelf:-1.0, Object:0.7, Guess:-0.6, Wood, Not Bookshelf:0.4347826086956522,Object:0.30434782608695654,Not Guess:0.2608695652173913, information_gain: 7.759626652339472, remaining_turns: 2
, cradle, What is the object typically stored in or near?, A baby., Baby:0.9, Object:0.7, Stored:0.6, Near, Baby:0.40909090909090906,Object:0.3181818181818181,Stored:0.2727272727272727, information_gain: 7.419469092716977, remaining_turns: 1
, raincoat, What is the size of the object you are thinking of?, The size of the object I am thinking of can vary., Vary:0.9, Size:0.8, Object:0.7, Baby, Vary:0.37499999999999994,Size:0.3333333333333333,Object:0.29166666666666663, information_gain: 27.631021115928547, remaining_turns: 7
, raincoat, What is the typical shape of the object you are thinking of?, The typical shape of the object I am thinking of is a long., Long:0.9, Shape:0.8, Object:0.7, Vary, Long:0.37499999999999994,Shape:0.3333333333333333,Object:0.29166666666666663, information_gain: 6.949780413313325, remaining_turns: 6
, raincoat, What is the object used for?, The object is used for protection from the rain., Rain:0.9, Protection:0.8, Object:0.7, Long, Rain:0.37499999999999994,Protection:0.3333333333333333,Object:0.29166666666666663, information_gain: 6.949780413313325, remaining_turns: 5
, raincoat, What material is the object made of?, The object is made of water-repellent fabric., Fabric:0.9, Water:0.8, Object:0.7, Protection, Fabric:0.37499999999999994,Water:0.3333333333333333,Object:0.29166666666666663, information_gain: 6.949780413313325, remaining_turns: 4
, raincoat, Is my guess that the object is an umbrella correct?, No., Umbrella:-1.0, Object:0.7, Guess:-0.6, Fabric, Not Umbrella:0.4347826086956522,Object:0.30434782608695654,Not Guess:0.2608695652173913, information_gain: 7.759626652339472, remaining_turns: 3
, raincoat, How is the object typically held or carried when it is being used?, The object is typically worn., Worn:0.9, Object:0.8, Carried:0.7,, Worn:0.37499999999999994,Object:0.3333333333333333,Carried:0.29166666666666663, information_gain: 6.949780413313325, remaining_turns: 2
, raincoat, What part of the body does the object cover?, The object covers the torso and the arms and the legs., Torso:0.9, Arms:0.9, Legs:0.9, Object, Torso:0.3333333333333333,Arms:0.3333333333333333,Legs:0.3333333333333333, information_gain: 0.0, remaining_turns: 1
, raincoat, Is my guess that the object is a raincoat correct?, Correct., Raincoat:1.0, Correct:0.9, Object:0.7, W, Raincoat:0.3846153846153847,Correct:0.3461538461538462,Object:0.2692307692307693, information_gain: 7.084441397037904, remaining_turns: 0
, plane, What is the general shape of the object?, The general shape of the object is elongated with wings on the sides., Elongated:0.9, Wings:0.8, Shape:0.7,, Elongated:0.37499999999999994,Wings:0.3333333333333333,Shape:0.29166666666666663, information_gain: 27.631021115928547, remaining_turns: 4
, plane, What is the object's size?, The object is larger than a car., Large:0.9, Car:-0.8, Object:0.7, Size, Large:0.37499999999999994,Not Car:0.3333333333333333,Object:0.29166666666666663, information_gain: 6.949780413313325, remaining_turns: 3
, plane, What is the object made of?, Metal., Metal:0.9, Object:0.7, Material:0.6, Shape:, Metal:0.40909090909090906,Object:0.3181818181818181,Material:0.2727272727272727, information_gain: 7.419469092716977, remaining_turns: 2
, plane, How many wings does the object have?, 2., Two:0.9, Wings:0.8, Object:0.7, Metal:, Two:0.37499999999999994,Wings:0.3333333333333333,Object:0.29166666666666663, information_gain: 6.949780413313325, remaining_turns: 1
, woofer, What does the object look like?, It is usually round or oval in shape and has a cone-shaped part in the center., Round:0.9, Oval:0.9, Cone:0.8, Shape:, Round:0.34615384615384615,Oval:0.34615384615384615,Cone:0.3076923076923077, information_gain: 0, remaining_turns: 8
, woofer, What is the object typically used for?, The object is typically used for producing low-frequency sound., Sound:0.9, Low:0.8, Frequency:0.7, Produce:, Sound:0.37499999999999994,Low:0.3333333333333333,Frequency:0.29166666666666663, information_gain: 27.631021115928547, remaining_turns: 7
, woofer, What material is the object made of?, The object is made of paper., Paper:0.9, Object:0.7, Material:0.6, Sound:, Paper:0.40909090909090906,Object:0.3181818181818181,Material:0.2727272727272727, information_gain: 7.419469092716977, remaining_turns: 6
, woofer, How big is the object?, The object is 12 inches in diameter., Inches:0.9, Diameter:0.8, Object:0.7, Size, Inches:0.37499999999999994,Diameter:0.3333333333333333,Object:0.29166666666666663, information_gain: 6.949780413313325, remaining_turns: 5
, woofer, Is the cone-shaped part in the center of the object also made of paper?, No., Paper:-1.0, Cone:0.7, Object:0.6, Center, Not Paper:0.4347826086956522,Cone:0.30434782608695654,Object:0.2608695652173913, information_gain: 7.759626652339472, remaining_turns: 4
, woofer, What is the cone-shaped part made of?, Paper., Paper:0.9, Cone:0.8, Object:0.7, Center:, Paper:0.37499999999999994,Cone:0.3333333333333333,Object:0.29166666666666663, information_gain: 0.15918421013236925, remaining_turns: 3
, woofer, How is the cone-shaped part attached to the rest of the object?, The cone-shaped part is attached to the rest of the object by a flexible ring., Ring:0.9, Flexible:0.8, Object:0.7, Cone, Ring:0.37499999999999994,Flexible:0.3333333333333333,Object:0.29166666666666663, information_gain: 6.949780413313325, remaining_turns: 2
, woofer, What is the flexible ring made of?, Rubber., Rubber:0.9, Ring:0.8, Object:0.7, Flexible:, Rubber:0.37499999999999994,Ring:0.3333333333333333,Object:0.29166666666666663, information_gain: 6.506378346509651, remaining_turns: 1
, snowmobile, What does the object look like?, It is a vehicle with skis on the front and a continuous track on the back., Vehicle:0.9, Skis:0.8, Track:0.8, Object, Vehicle:0.36,Skis:0.32,Track:0.32, information_gain: 27.631021115928547, remaining_turns: 5
, snowmobile, What is the primary environment in which the vehicle is used?, Snow., Snow:0.9, Vehicle:0.8, Environment:0.7, Object:, Snow:0.37499999999999994,Vehicle:0.3333333333333333,Environment:0.29166666666666663, information_gain: 5.53905622912433, remaining_turns: 4
, snowmobile, What is the typical speed of the vehicle when it is being used?, The typical speed of the vehicle when it is being used is around 30-50 km/h., Speed:0.9, Km:0.8, Vehicle:0.7, Object:, Speed:0.37499999999999994,Km:0.3333333333333333,Vehicle:0.29166666666666663, information_gain: 5.925179984509259, remaining_turns: 3
, snowmobile, How many people can the vehicle typically carry?, 2 people., People:0.9, Two:0.8, Vehicle:0.7, Object:, People:0.37499999999999994,Two:0.3333333333333333,Vehicle:0.29166666666666663, information_gain: 6.102308971525854, remaining_turns: 2
, snowmobile, What is the approximate weight of the vehicle?, The approximate weight of the vehicle is between 400 and 600 pounds., Weight:0.9, Pounds:0.8, Vehicle:0.7, Object:, Weight:0.37499999999999994,Pounds:0.3333333333333333,Vehicle:0.29166666666666663, information_gain: 6.233998200118114, remaining_turns: 1
, washcloth, What is the general shape of the object?, The general shape of the object is rectangular., Rectangular:0.9, Shape:0.8, Object:0.7, General, Rectangular:0.37499999999999994,Shape:0.3333333333333333,Object:0.29166666666666663, information_gain: 27.631021115928547, remaining_turns: 4
, washcloth, What is the size of the object?, It is small enough to be held in one hand., Hand:0.9, Small:0.8, Object:0.7, Size:, Hand:0.37499999999999994,Small:0.3333333333333333,Object:0.29166666666666663, information_gain: 6.949780413313325, remaining_turns: 3
, washcloth, What is the object's purpose?, The object's purpose is to clean or dry the body., Clean:0.9, Dry:0.9, Body:0.8, Object:, Clean:0.34615384615384615,Dry:0.34615384615384615,Body:0.3076923076923077, information_gain: 0.0, remaining_turns: 2
, washcloth, What material is the object made of?, The object is made of cotton., Cotton:0.9, Object:0.7, Material:0.6, Body:, Cotton:0.40909090909090906,Object:0.3181818181818181,Material:0.2727272727272727, information_gain: 7.419469092716977, remaining_turns: 1
, washcloth, I'm going to take a guess that the object is a washcloth.?, Correct., Washcloth:1.0, Correct:0.9, Object:0.7, Cotton, Washcloth:0.3846153846153847,Correct:0.3461538461538462,Object:0.2692307692307693, information_gain: 7.084441397037906, remaining_turns: 0
, microchip, What is the general shape of the object?, The general shape of the object is rectangular., Rectangular:0.9, Shape:0.8, Object:0.7, General, Rectangular:0.37499999999999994,Shape:0.3333333333333333,Object:0.29166666666666663, information_gain: 27.631021115928547, remaining_turns: 4
, microchip, What are the dimensions of the object?, The dimensions of the object are usually measured in millimeters., Millimeters:0.9, Dimensions:0.8, Object:0.7, Measure, Millimeters:0.37499999999999994,Dimensions:0.3333333333333333,Object:0.29166666666666663, information_gain: 6.949780413313325, remaining_turns: 3
, microchip, What is the material the object is made of?, Silicon., Silicon:0.9, Object:0.7, Material:0.6, Rectangular, Silicon:0.40909090909090906,Object:0.3181818181818181,Material:0.2727272727272727, information_gain: 7.419469092716977, remaining_turns: 2
, microchip, What is the object used for?, The object is used for processing information., Information:0.9, Processing:0.8, Object:0.7, Silicon, Information:0.37499999999999994,Processing:0.3333333333333333,Object:0.29166666666666663, information_gain: 6.949780413313325, remaining_turns: 1
, microchip, Is the object a microchip?, Correct., Microchip:1.0, Correct:0.9, Object:0.7, Silicon, Microchip:0.3846153846153847,Correct:0.3461538461538462,Object:0.2692307692307693, information_gain: 7.084441397037904, remaining_turns: 0
, railcar, What is the general shape of the object?, The general shape of the object is a rectangular prism., Rectangular:0.9, Prism:0.8, Shape:0.7, General, Rectangular:0.37499999999999994,Prism:0.3333333333333333,Shape:0.29166666666666663, information_gain: 27.631021115928547, remaining_turns: 7
, railcar, What is the size of the object?, The object is typically between 50 and 85 feet in length., Feet:0.9, Length:0.8, Size:0.7, Object:, Feet:0.37499999999999994,Length:0.3333333333333333,Size:0.29166666666666663, information_gain: 6.949780413313325, remaining_turns: 6
, railcar, What material is the object made of?, Metal., Metal:0.9, Object:0.7, Material:0.6, Prism:, Metal:0.40909090909090906,Object:0.3181818181818181,Material:0.2727272727272727, information_gain: 7.419469092716977, remaining_turns: 5
, railcar, What is the object's purpose?, The object's purpose is to carry things., Carry:0.9, Object:0.8, Purpose:0.7, Metal:, Carry:0.37499999999999994,Object:0.3333333333333333,Purpose:0.29166666666666663, information_gain: 6.949780413313325, remaining_turns: 4
, railcar, Is the object a vehicle?, Yes., Vehicle:0.9, Yes:0.8, Object:0.7, Carry:, Vehicle:0.37499999999999994,Yes:0.3333333333333333,Object:0.29166666666666663, information_gain: 6.949780413313325, remaining_turns: 3
, railcar, My guess is that the object is a bus.?, No., Bus:-1.0, Object:0.7, Guess:-0.6, Carry:-, Not Bus:0.4347826086956522,Object:0.30434782608695654,Not Guess:0.2608695652173913, information_gain: 7.759626652339472, remaining_turns: 2
, railcar, What is the object used to carry?, People or freight., Freight:0.9, People:0.9, Carry:0.7, Object:, Freight:0.36,People:0.36,Carry:0.27999999999999997, information_gain: 11.653774415257363, remaining_turns: 1
, railcar, My guess is that the object is a train car.?, Correct., Train:1.0, Car:1.0, Correct:0.9, Object:, Train:0.3448275862068966,Car:0.3448275862068966,Correct:0.3103448275862069, information_gain: 2.2204460492503128e-16, remaining_turns: 0
, catalog, What is the general shape of the object?, The general shape of the object is rectangular., Rectangular:0.9, Shape:0.8, Object:0.7, General, Rectangular:0.37499999999999994,Shape:0.3333333333333333,Object:0.29166666666666663, information_gain: 27.631021115928547, remaining_turns: 22
, catalog, What are the dimensions of the object?, The dimensions are typically 8., Dimensions:0.9, Object:0.7, Eight:0.7, Rectangular, Dimensions:0.391304347826087,Object:0.30434782608695654,Eight:0.30434782608695654, information_gain: 7.177094666130065, remaining_turns: 21
, catalog, What does the 8 refer to in the dimensions?, There is no 8 in the dimensions., Dimensions:0.9, Object:0.7, No:0.6, Rectangular, Dimensions:0.40909090909090906,Object:0.3181818181818181,No:0.2727272727272727, information_gain: 0.012982008521348065, remaining_turns: 20
, catalog, What are the typical dimensions of the object?, The typical dimensions of the object are 8., Dimensions:0.9, Object:0.7, Eight:0.7, Rectangular, Dimensions:0.391304347826087,Object:0.30434782608695654,Eight:0.30434782608695654, information_gain: 0.013146151854179222, remaining_turns: 19
, catalog, What does the 8 refer to in the typical dimensions?, It refers to the height in inches., Height:0.9, Inches:0.8, Object:0.7, Dimensions:, Height:0.37499999999999994,Inches:0.3333333333333333,Object:0.29166666666666663, information_gain: 6.949780413313325, remaining_turns: 18
, catalog, What are the other dimensions of the object?, The object is 8., Eight:0.9, Object:0.7, Dimensions:0.6, Height:, Eight:0.40909090909090906,Object:0.3181818181818181,Dimensions:0.2727272727272727, information_gain: 6.977945308114298, remaining_turns: 17
, catalog, What does the 8 refer to in the other dimensions?, There is no 8 in the object I am thinking of., Object:0.9, Dimensions:0.7, No:0.6, Height:, Object:0.40909090909090906,Dimensions:0.3181818181818181,No:0.2727272727272727, information_gain: 6.981927964125048, remaining_turns: 16
, catalog, What are the other dimensions of the object?, It has a length., Length:0.9, Object:0.7, Dimensions:0.6, Height:, Length:0.40909090909090906,Object:0.3181818181818181,Dimensions:0.2727272727272727, information_gain: 8.535422002938432, remaining_turns: 15
, catalog, What is the length of the object?, The length of the object is 11 inches., Inches:0.9, Length:0.8, Object:0.7, Height, Inches:0.37499999999999994,Length:0.3333333333333333,Object:0.29166666666666663, information_gain: 6.069106282396197, remaining_turns: 14
, catalog, What is the width of the object?, The width of the object is 8., Eight:0.9, Width:0.8, Object:0.7, Inches, Eight:0.37499999999999994,Width:0.3333333333333333,Object:0.29166666666666663, information_gain: 0.3989866347728502, remaining_turns: 13
, catalog, What material is the object made of?, Paper., Paper:0.9, Object:0.7, Material:0.6, Width:, Paper:0.40909090909090906,Object:0.3181818181818181,Material:0.2727272727272727, information_gain: 7.419469092716977, remaining_turns: 12
, catalog, What is the object used for?, The object is used to provide information about items for sale., Information:0.9, Sale:0.8, Object:0.7, Items:, Information:0.37499999999999994,Sale:0.3333333333333333,Object:0.29166666666666663, information_gain: 6.949780413313325, remaining_turns: 11
, catalog, Is the object a price tag?, No., Price:-1.0, Tag:-1.0, Object:0.7, Information:-, Not Price:0.37037037037037035,Not Tag:0.37037037037037035,Object:0.25925925925925924, information_gain: 10.780910261280766, remaining_turns: 10
, catalog, What type of information does the object provide about the items for sale?, The object provides detailed information about the items for sale., Detailed:0.9, Information:0.8, Sale:0.7, Items:, Detailed:0.37499999999999994,Information:0.3333333333333333,Sale:0.29166666666666663, information_gain: 8.005428330012924, remaining_turns: 9
, catalog, What type of items are the objects used to provide information about?, The objects are used to provide information about products., Products:0.9, Information:0.8, Object:0.7, Detailed:, Products:0.37499999999999994,Information:0.3333333333333333,Object:0.29166666666666663, information_gain: 6.949780413313325, remaining_turns: 8
, catalog, How is the object used to provide information about the products?, The object is used to provide information about the products by listing the products., Listing:0.9, Products:0.8, Information:0.7, Object:, Listing:0.37499999999999994,Products:0.3333333333333333,Information:0.29166666666666663, information_gain: 6.506378346509651, remaining_turns: 7
, catalog, How is the information about the products listed on the object?, The information about the products is listed in a systematic way., Systematic:0.9, Information:0.8, Products:0.7, Listing, Systematic:0.37499999999999994,Information:0.3333333333333333,Products:0.29166666666666663, information_gain: 8.748616387631879, remaining_turns: 6
, catalog, What type of systematic way is the information listed on the object?, The information is listed in alphabetical order., Alphabetical:0.9, Information:0.8, Listing:0.7, Products, Alphabetical:0.37499999999999994,Information:0.3333333333333333,Listing:0.29166666666666663, information_gain: 8.567391248653863, remaining_turns: 5
, catalog, How many products are typically listed on the object?, Typically hundreds to thousands., Hundreds:0.9, Thousands:0.9, Products:0.7, Listing:, Hundreds:0.36,Thousands:0.36,Products:0.27999999999999997, information_gain: 10.596481700596454, remaining_turns: 4
, catalog, How are the products organized on the object?, The products are organized alphabetically and by category., Alphabetically:0.9, Category:0.9, Products:0.7, Organized, Alphabetically:0.36,Category:0.36,Products:0.27999999999999997, information_gain: 10.596481700596454, remaining_turns: 3
, catalog, What is the object typically bound with?, The object is typically bound with glue or staples., Glue:0.9, Staples:0.9, Object:0.7, Bound:, Glue:0.36,Staples:0.36,Object:0.27999999999999997, information_gain: 10.596481700596454, remaining_turns: 2
, catalog, What is the object commonly referred to as?, Catalog., Catalog:1.0, Object:0.7, Information:0.6, Products, Catalog:0.4347826086956522,Object:0.30434782608695654,Information:0.2608695652173913, information_gain: 7.759626652339472, remaining_turns: 1
, catalog, Is the object a catalog?, Correct., Catalog:1.0, Correct:0.9, Object:0.7, Products, Catalog:0.3846153846153847,Correct:0.3461538461538462,Object:0.2692307692307693, information_gain: 0.012044488695041192, remaining_turns: 0
, cannonball, What does the object look like?, The object is round and made of metal., Round:0.9, Metal:0.8, Object:0.7, Shape:, Round:0.37499999999999994,Metal:0.3333333333333333,Object:0.29166666666666663, information_gain: 27.631021115928547, remaining_turns: 5
, cannonball, What is the typical use of the object?, The typical use of the object is to be fired from a cannon., Cannon:0.9, Fired:0.8, Object:0.7, Round, Cannon:0.37499999999999994,Fired:0.3333333333333333,Object:0.29166666666666663, information_gain: 6.949780413313325, remaining_turns: 4
, cannonball, How does the object interact with the cannon when it is fired?, The object is propelled out of the cannon when it is fired., Propelled:0.9, Cannon:0.8, Object:0.7, F, Propelled:0.37499999999999994,Cannon:0.3333333333333333,Object:0.29166666666666663, information_gain: 6.506378346509651, remaining_turns: 3
, cannonball, What size is the object?, The object is about 10 inches in diameter., Inches:0.9, Diameter:0.8, Object:0.7, Size, Inches:0.37499999999999994,Diameter:0.3333333333333333,Object:0.29166666666666663, information_gain: 6.949780413313325, remaining_turns: 2
, cannonball, How much does the object typically weigh?, The object typically weighs between 5 to 50 pounds., Pounds:0.9, Weight:0.8, Object:0.7, Diameter, Pounds:0.37499999999999994,Weight:0.3333333333333333,Object:0.29166666666666663, information_gain: 6.949780413313325, remaining_turns: 1
, cannonball, My first guess is that the object is a cannonball.?, Correct., Cannonball:1.0, Correct:0.9, Object:0.7, Cannon, Cannonball:0.3846153846153847,Correct:0.3461538461538462,Object:0.2692307692307693, information_gain: 7.084441397037906, remaining_turns: 0
